Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Duzhak, E., Hoff, J., Lopus, J.S.","23479478200;36696321500;6506854194;","The Effects of the Chair the Fed Simulation on High School Students’ Knowledge",2021,"American Economist","66","1",,"74","89",,2,"10.1177/0569434520971193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106678034&doi=10.1177%2f0569434520971193&partnerID=40&md5=1bf3f64481cd3cb3dae3e5a2f557f40b",Article,"Final","",Scopus,2-s2.0-85106678034
"Duzhak, E., Hoff, K.J., Lopus, J.S.","23479478200;57214436900;6506854194;","Chair the Fed: Insights from game usage data",2021,"Journal of Economic Education","52","2",,"89","101",,,"10.1080/00220485.2021.1887025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102763929&doi=10.1080%2f00220485.2021.1887025&partnerID=40&md5=4582872a51276c3d5bea60f1f03a144e",Article,"Final","",Scopus,2-s2.0-85102763929
"Takahashi, I., Okada, I.","35405447600;7005931788;","An artificial Wicksell–Keynes economy integrating short-run business cycle and long-term cumulative trend",2020,"Journal of Economic Interaction and Coordination","15","4",,"953","998",,1,"10.1007/s11403-020-00282-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081611876&doi=10.1007%2fs11403-020-00282-6&partnerID=40&md5=9aff60c01eae30655b038b452c0c2592",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85081611876
"Stein, J.A.C., Braun, D.","57205457910;7201926668;","Stability of a time-homogeneous system of money and antimoney in an agent-based random economy",2019,"Physica A: Statistical Mechanics and its Applications","520",,,"232","249",,3,"10.1016/j.physa.2019.01.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060080947&doi=10.1016%2fj.physa.2019.01.022&partnerID=40&md5=0e5c222efa6381b4e98147c4bb42962d",Article,"Final","",Scopus,2-s2.0-85060080947
"Monett, D., Navarro-Barrientos, J.E.","23109089900;23036112400;","Simulating the fractional reserve banking using agent-based modelling with NetLogo",2016,"Proceedings of the 2016 Federated Conference on Computer Science and Information Systems, FedCSIS 2016",,,"7733445","1467","1470",,4,"10.15439/2016F373","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007236143&doi=10.15439%2f2016F373&partnerID=40&md5=fb6c1b6b6025fa155a92904ec6e6dc52",Conference Paper,"Final","",Scopus,2-s2.0-85007236143
"Mallett, J.","55224333500;","A system analysis of the basel capital accord's regulatory control over the behaviour of modern banking systems",2012,"SysCon 2012 - 2012 IEEE International Systems Conference, Proceedings",,,"6189507","265","272",,,"10.1109/SysCon.2012.6189507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861324044&doi=10.1109%2fSysCon.2012.6189507&partnerID=40&md5=a1c38608cc3cd4d42850934a8e321dc3",Conference Paper,"Final","",Scopus,2-s2.0-84861324044
"Ndhlela, T.","51461724900;","Currency flexibility and real output volatility: Evaluating the credibility of Zimbabwe's exchange rate policies",2011,"International Research Journal of Finance and Economics","74",,,"114","135",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053168066&partnerID=40&md5=344bae846454a057fab58aafffe3cd42",Article,"Final","",Scopus,2-s2.0-80053168066
"Glick, R., Hutchison, M.","7007043676;7006152180;","Navigating the trilemma: Capital flows and monetary policy in China",2009,"Journal of Asian Economics","20","3",,"205","224",,47,"10.1016/j.asieco.2009.02.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67349124423&doi=10.1016%2fj.asieco.2009.02.011&partnerID=40&md5=bccd8c8eb0f4d8db9155c4949fbfbc36",Article,"Final","All Open Access, Green",Scopus,2-s2.0-67349124423
"Mistry, J.J.","8708027000;","Differential impacts of information technology on cost and revenue driver relationships in banking",2006,"Industrial Management and Data Systems","106","3",,"327","344",,18,"10.1108/02635570610653489","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645016906&doi=10.1108%2f02635570610653489&partnerID=40&md5=e93da2d7bf0570011a5b91c5d8823efc",Article,"Final","",Scopus,2-s2.0-33645016906
"Xi, N., Ding, N., Wang, Y.","55547130891;55959219900;8559097500;","How required reserve ratio affects distribution and velocity of money",2005,"Physica A: Statistical Mechanics and its Applications","357","3-4",,"543","555",,23,"10.1016/j.physa.2005.04.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-24644482356&doi=10.1016%2fj.physa.2005.04.014&partnerID=40&md5=1f3b17dd622ce80986257c77f32dcb19",Article,"Final","All Open Access, Green",Scopus,2-s2.0-24644482356
"Drew, A., Hall, V.B., McDermott, C.J., St. Clair, R.","8284902900;7007164282;7006374319;36820697700;","Would adopting the Australian dollar provide superior monetary policy in New Zealand?",2004,"Economic Modelling","21","6",,"949","964",,4,"10.1016/j.econmod.2003.10.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-5144235173&doi=10.1016%2fj.econmod.2003.10.008&partnerID=40&md5=30c87d123d5c73ff7a2c32ed7eaeefee",Article,"Final","",Scopus,2-s2.0-5144235173
"Lee, P.C., Ghosh, S.","7406118236;55478975700;","NOVAHID: A Novel Architecture for Asynchronous, Hierarchical, International, Distributed, Real Time Payments Processing",1994,"IEEE Journal on Selected Areas in Communications","12","6",,"1072","1087",,,"10.1109/49.310964","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028480138&doi=10.1109%2f49.310964&partnerID=40&md5=ef87d809b09877f332ceb2da5cc67fa0",Article,"Final","",Scopus,2-s2.0-0028480138
